content_id,title,type,genre,platform,country,language,release_year,duration_minutes,rating,votes,engagement_score,popularity_score
C101258,Hidden Pulse 1258,Series,Action,Netflix,India,German,2024,1765,8.6,181815,5348.39,1556.34
C100244,Last Kingdom 244,Series,Sci-Fi,Hotstar,Germany,Korean,2023,1410,8.2,195022,4583.02,1593.33
C101120,Cyber Night 1120,Movie,Action,Prime Video,South Korea,English,2022,141,8.0,196635,462.09,1569.15
C101217,Fading Light 1217,Movie,Fantasy,Hotstar,USA,German,2015,157,7.7,189880,496.85,1458.28
C100213,Cyber Night 213,Movie,Sci-Fi,Netflix,Germany,Korean,2016,161,8.2,185867,498.74,1518.53
C102001,Cyber Night 2001,Series,Sci-Fi,Netflix,USA,Spanish,2024,1405,7.8,199330,4667.64,1550.79
C102031,Shadow Realm 2031,Series,Crime,Prime Video,UK,German,2020,1620,8.1,186867,5045.41,1508.02
C101451,Crimson Truth 1451,Movie,Fantasy,Netflix,South Korea,Korean,2024,102,8.9,164959,280.43,1458.24
C100937,Fading Light 937,Series,Drama,Hotstar,Spain,Hindi,2018,1887,8.0,190200,5981.79,1515.89
C101115,Broken Empire 1115,Series,Comedy,Prime Video,Spain,Korean,2018,667,9.0,157720,1753.32,1410.02
C100748,Crimson Truth 748,Movie,Sci-Fi,Prime Video,Spain,Hindi,2024,118,8.8,166699,327.84,1458.62
C100893,Crimson Truth 893,Series,Thriller,Netflix,Spain,German,2022,1175,9.1,154341,3022.51,1393.7
C100763,Lost Signal 763,Series,Thriller,Hotstar,South Korea,German,2023,1568,7.8,193242,5050.06,1503.42
C102254,Neon Streets 2254,Series,Action,Hotstar,India,Korean,2018,629,7.8,199558,2092.03,1552.56
C101013,Lost Signal 1013,Series,Thriller,Hotstar,India,Spanish,2018,1027,8.7,160822,2752.74,1391.11
C101066,Neon Streets 1066,Movie,Fantasy,Hotstar,South Korea,English,2018,173,7.7,196366,566.19,1508.09
C100018,Shadow Realm 18,Series,Comedy,Prime Video,USA,Spanish,2023,814,8.0,183018,2482.94,1458.65
C100250,Echoes of Time 250,Series,Crime,Hotstar,South Korea,Spanish,2017,1055,9.2,163284,2871.08,1490.78
C100171,Echoes of Time 171,Movie,Fantasy,Hotstar,South Korea,English,2018,137,9.3,190421,434.79,1759.49
C100453,Dark Horizon 453,Series,Thriller,Prime Video,Germany,Spanish,2021,796,8.9,186472,2473.86,1650.28
C100950,Neon Streets 950,Series,Sci-Fi,Prime Video,Germany,Hindi,2018,1399,7.1,197608,4607.56,1403.02
C101652,Dark Horizon 1652,Series,Crime,Prime Video,Spain,Hindi,2018,677,7.9,189151,2134.25,1490.51
C100148,Cyber Night 148,Movie,Crime,Prime Video,Spain,Hindi,2018,155,8.4,175641,453.74,1468.36
C101635,Fading Light 1635,Series,Sci-Fi,Netflix,Germany,English,2021,1216,9.1,190752,3865.91,1726.31
C100593,Fading Light 593,Series,Crime,Netflix,USA,Spanish,2021,657,8.5,173049,1894.89,1463.99
C102119,Lost Signal 2119,Movie,Crime,Netflix,Spain,Spanish,2019,105,9.4,154787,270.88,1442.61
C102231,Shadow Realm 2231,Movie,Thriller,Hotstar,UK,English,2017,163,9.5,177423,482.0,1673.1
C101075,Crimson Truth 1075,Series,Fantasy,Netflix,Germany,Hindi,2023,1258,7.9,178079,3733.72,1403.26
C100692,Lost Signal 692,Series,Fantasy,Hotstar,South Korea,Spanish,2024,1817,8.0,191133,5788.14,1523.33
C102343,Broken Empire 2343,Movie,Comedy,Prime Video,Germany,German,2017,165,8.0,171531,471.71,1367.1
C101586,Echoes of Time 1586,Movie,Crime,Hotstar,Spain,Spanish,2024,151,8.4,163271,410.9,1364.95
C100147,Shadow Realm 147,Series,Fantasy,Prime Video,South Korea,German,2015,1250,7.6,195917,4081.6,1487.01
C102250,Shadow Realm 2250,Series,Sci-Fi,Netflix,USA,Korean,2023,343,8.0,183956,1051.62,1466.13
C100624,Hidden Pulse 624,Series,Drama,Hotstar,India,Spanish,2023,708,8.0,195612,2308.22,1560.98
C100390,Lost Signal 390,Movie,Comedy,Netflix,South Korea,Korean,2017,100,8.2,183604,306.01,1500.04
C100718,Cyber Night 718,Movie,Comedy,Prime Video,UK,Korean,2019,89,9.5,176562,261.9,1664.98
C101814,Neon Streets 1814,Movie,Sci-Fi,Hotstar,South Korea,Hindi,2020,85,8.4,184675,261.62,1543.88
C101847,Crimson Truth 1847,Series,Crime,Hotstar,UK,Hindi,2024,1642,8.7,186869,5113.98,1618.29
C102040,Broken Empire 2040,Series,Thriller,Netflix,USA,Korean,2021,623,8.8,160937,1671.06,1408.2
C101195,Echoes of Time 1195,Movie,Drama,Prime Video,USA,Korean,2020,89,8.0,168146,249.42,1340.12
C101799,Dark Horizon 1799,Movie,Thriller,Hotstar,UK,German,2019,99,7.9,179817,296.7,1416.96
C101244,Lost Signal 1244,Series,Action,Netflix,India,Hindi,2022,624,9.2,159886,1662.81,1459.76
C101274,Crimson Truth 1274,Movie,Thriller,Hotstar,South Korea,English,2024,125,8.8,167163,348.26,1462.68
C101059,Broken Empire 1059,Movie,Fantasy,Netflix,UK,Hindi,2016,81,8.1,179480,242.3,1448.4
C100545,Lost Signal 545,Movie,Action,Netflix,India,English,2018,107,9.4,186628,332.82,1743.11
C101572,Silent Code 1572,Series,Drama,Prime Video,India,Hindi,2023,1224,7.1,194313,3963.99,1379.62
C100804,Lost Signal 804,Series,Action,Hotstar,Germany,English,2019,1374,8.5,173258,3967.61,1465.76
C100370,Dark Horizon 370,Movie,Fantasy,Hotstar,Germany,German,2018,139,7.7,194883,451.48,1496.7
C101624,Neon Streets 1624,Movie,Crime,Netflix,Germany,Korean,2022,138,8.4,165542,380.75,1383.93
C101299,Fading Light 1299,Movie,Action,Netflix,India,Hindi,2022,154,7.5,181891,466.85,1362.36
C101314,Lost Signal 1314,Series,Fantasy,Prime Video,South Korea,Korean,2021,421,9.5,187144,1313.13,1764.77
C101107,Neon Streets 1107,Movie,Crime,Hotstar,USA,Hindi,2021,145,7.6,191604,463.04,1452.36
C101348,Echoes of Time 1348,Series,Crime,Hotstar,Spain,English,2015,922,9.2,191378,2940.84,1749.19
C101577,Dark Horizon 1577,Movie,Comedy,Hotstar,South Korea,German,2019,147,7.1,185216,453.78,1315.03
C101771,Hidden Pulse 1771,Series,Comedy,Netflix,Germany,Hindi,2023,1311,8.6,186819,4082.0,1599.17
C100944,Broken Empire 944,Series,Crime,Hotstar,USA,Korean,2015,1798,8.5,181346,5434.34,1534.19
C101465,Lost Signal 1465,Movie,Crime,Netflix,USA,Korean,2016,131,8.5,155032,338.49,1310.02
C102146,Neon Streets 2146,Series,Thriller,Hotstar,UK,Spanish,2017,1976,8.1,167603,5519.73,1352.56
